,heur,n_filmes,n_categorias,tempo_ex,n_assistidos,tempo_tela,media
0,aleat,100,13,0.0044235350214876235,5,18,3.6
0,aleat,100,14,0.004496100009419024,6,22,3.66667
0,aleat,100,15,0.004919092985801399,7,23,3.28571
0,aleat,100,16,0.004698867036495358,7,22,3.14286
0,aleat,100,17,0.004793071013409644,7,23,3.28571
0,aleat,100,18,0.00467411003774032,5,19,3.8
0,aleat,100,19,0.004442918987479061,5,22,4.4
0,aleat,100,20,0.004391371970996261,7,23,3.28571
0,aleat,105,1,0.004177954979240894,1,2,2.0
0,aleat,105,2,0.004542368988040835,3,11,3.66667
0,aleat,105,3,0.004377731995191425,6,20,3.33333
0,aleat,105,4,0.004685478983446956,6,19,3.16667
0,aleat,105,5,0.004498076974414289,6,23,3.83333
0,aleat,105,6,0.004571231023874134,7,23,3.28571
0,aleat,105,7,0.004611158976331353,5,21,4.2
0,aleat,105,8,0.004833274986594915,8,25,3.125
0,aleat,105,9,0.004864974995143712,8,23,2.875
0,aleat,105,10,0.005781073996331543,6,22,3.66667
0,aleat,105,11,0.005028444982599467,8,23,2.875
0,aleat,105,12,0.006141980004031211,6,23,3.83333
0,aleat,105,13,0.0052251750021241605,8,25,3.125
0,aleat,105,14,0.005197455990128219,8,24,3.0
0,aleat,105,15,0.004833980987314135,7,21,3.0
0,aleat,105,16,0.004727113002445549,6,17,2.83333
0,aleat,105,17,0.004658651014324278,8,25,3.125
0,aleat,105,18,0.004688060027547181,7,22,3.14286
0,aleat,105,19,0.00443406798876822,8,24,3.0
0,aleat,105,20,0.0045373099856078625,8,24,3.0
0,aleat,110,1,0.004277685016859323,1,2,2.0
0,aleat,110,2,0.004730432003270835,4,16,4.0
0,aleat,110,3,0.004565477021969855,6,20,3.33333
0,aleat,110,4,0.00483449298189953,5,18,3.6
0,aleat,110,5,0.004338831000495702,7,22,3.14286
0,aleat,110,6,0.004899544990621507,7,24,3.42857
0,aleat,110,7,0.0046012839884497225,6,22,3.66667
0,aleat,110,8,0.004715450981166214,7,23,3.28571
0,aleat,110,9,0.004447824961971492,6,18,3.0
0,aleat,110,10,0.004567613999824971,8,22,2.75
0,aleat,110,11,0.004788983031176031,6,22,3.66667
0,aleat,110,12,0.004459824005607516,7,23,3.28571
0,aleat,110,13,0.00456138898152858,8,23,2.875
